date_utc,workflow,run_id,result,model,turns,duration_ms,input_tokens,output_tokens,cache_read,cache_created,cost_usd
"2026-06-12T22:41Z","Daily Scout","27447152031","ok","claude-sonnet-4-6",14,119197,1550,4572,234724,18880,0.3498172
"2026-06-13T22:32Z","Daily Scout","27481040145","ok","claude-sonnet-4-6",13,109121,1036,4088,248672,19780,0.36933960000000005
"2026-06-13T23:29Z","Daily Dive","27482185010","ok","claude-opus-4-8",38,333598,4085,20444,1424491,79165,2.1841485
"2026-06-14T22:35Z","Daily Scout","27514161249","ok","claude-sonnet-4-6",13,116997,863,4249,256207,21252,0.3838131
"2026-06-15T00:40Z","The Wire","27517083699","ok","claude-opus-4-8",44,591898,6298,37275,1977281,115727,3.344173500000001
"2026-06-15T22:50Z","Daily Scout","27581479368","ok","claude-sonnet-4-6",14,108344,308,4077,256921,20367,0.38481029999999994
"2026-06-15T23:38Z","Daily Dive","27583356530","ok","claude-opus-4-8",43,332364,4654,19503,1812649,95901,2.5247765
"2026-06-16T22:45Z","Daily Scout","27653007964","ok","claude-sonnet-4-6",10,95068,1372,4608,128392,18276,0.28548260000000003
"2026-06-16T23:36Z","Daily Dive","27655030310","ok","claude-opus-4-8",36,378432,5078,21203,1296385,80883,2.1517034999999995
"2026-06-17T22:42Z","Daily Scout","27724307297","ok","claude-sonnet-4-6",13,148373,850,7202,266153,25359,0.4750349
"2026-06-17T23:37Z","Daily Dive","27726422896","ok","claude-opus-4-8",49,354580,4442,22060,2046913,84384,2.5702064999999994
